Nama_Peserta,Essay_id,Answer,Score
1601,1,alumnus; agenda; laba; sampel; tutorial; imajinasi; argument; kostum; ranking; fiktif,5
1601,2,"teknik membaca : menulis laporan, lalu membacakannya; teknik menghafal: menulis laporan, lalu menghafalnya; teknik serta merta: menyampaikan laporan tanpa teks; teknik outline : pembicara menulis catatan, lalu mengembangkan tulisan tersebut",5
1601,3,240/ 120 x 60 = 120 kpm,5
1601,4,omset; hektare; saksama; silakan; sirup; zaman; apotek; modern; imbau; kuitansi,5
1601,5,judul: identitas dari dialog tersebut; anotasi: keterangan yang sedang dilakukan oleh tokoh; dialog: percakapan antar tokoh; babak adegan: permasalahan yang menjadi pembangun cerita,2
1602,1,alumnus; agenda; laba; sampel; prosedur; imajinasi; argumen; baju; ranking; fiktif,5
1602,2,suara -> yang keras dan terdengar oleh pendengar; vokal -> nada tinggi dan rendah saat membaca; mimik -> mimik harus sesuai dengan bacaan; gerak-gerik:  ; bahasa: menggunakan bahasa yang komunikatif;,2
1602,3,jumlah kata/ waktu membaca x 60 = 240 / 120 x 60 = 240/ 2 = 120 kpm,5
1602,4,omset; hektar; seksama; silakan; sirup; zaman; apotek; modern; imbau; kuwitansi,2
1602,5,tokoh : peran utama dan tambahan; tema : pokok-pokok cerita; latar : tempat dan waktu; amanat : pesan moral; alur : jalan cerita; bahasa: bahasa yang mudah dimengerti,5
1603,1,alumnus; rencana; laba; sampel; prosedur; imajinasi; argumen; kostum; ranking; fiktif,5
1603,2,volume suara : dapat terdengar audiens; penjedaan di tengah atau akhir; bahasa yang komunikatif : menggunkan bahasa indonesia dengan baik dan benar,2
1603,3,240/ 120 x 60 = 240 / 2 = 120 kpm,5
1603,4,omzet; hektare; saksama; silakan; sirup; zaman; apotek; modern; himbau; kuitansi,5
1603,5,"teks usulan : tema, tokoh, latar, alur, amanat, bahasa",2
1604,1,alumnus; agenda; laba; sampel; usaha; imajinasi; argumen; kostum; ranking; fiktif,5
1604,2,suara -> dapat terdengar oleh audien; vokal -> pendenger dapat menangkap isi laporan; penjedaan -> pengakhiran ditengah atau diakhir kalimat; expresi -> mimik wajah; gerak -> memperhatikan gerakan yang tidak perlu; bahasa -> tidak harus menggunakan bahasa baku,2
1604,3,rumus: jumlah kata yang dibaca/ waktu yang digunakan = 240/ 120 x 60 = 360 / 3 = 120 kpm,5
1604,4,omzet; hektare; saksama; silakan; sirop; zaman; apotek; moderen; imbau; kuitansi,5
1604,5,bahasa -> bahasa yang digunakan bagaimana; pokok-pokok informasi -> isi dari teks tersebut,2
1621,1,alumnus; agenda; laba; sampel; prosedur; imajinasi; argumen; kostum/ busana; ranking; fana,5
1621,2,vokal -> jelasnya suara; penjedaan -> jeda di setiap kalimat (agar tidak terkesan ngerap); volume -> besar kecilnya suara; ekspresi -> mimik wajah; gerak-gerik -> gerak tubuh saat menyampaikan laporan; bahasa komunikatif -> b. indonesia yang baik dan benar,2
1621,3,jmlh kata yang dibaca/ waktu membaca(s) x 60 = 240 / 120 x 60 = 120 kpm,5
1621,4,omzet; hektare; saksama; silakan; sirop; zaman; apotek; modern; imbau; kuitansi,5
1621,5,5w + 1h ; who = siapa; what = apa; where = dimana ; when = kapan; why = mengapa; how = bagaimana,2
1622,1,lulusan : alumni; rencana : agenda; keuntungan : laba; contoh : ; cara : ; khayalan : imajinasi; pendapat : pemikiran ; pakaian : kostum; peringkat : ranking; tidak nyata : fiktif,5
1622,2,teknik membaca : menyampaikan dengan membaca/ membawa naskah; teknik menghafal : menyampaikan dengan dihafalkan / tidak membaca; teknik serta merta : menyampaikan dengan tanpa naskah dan tanpa membaca; teknik outline,5
1622,3,R = jumlah kata/ waktu x 60 = 240 / 120 x 60 = 240 / 2 = 120 kpm,5
1622,4,omzet; hektar; seksama; silakan; sirup; zaman; apotek; modern; imbau; kuitansi,5
1622,5,pendapat; gagasan utama; alur,2
1623,1,alumnus; agenda; laba; sampel; metode; imajinasi; argumen; kostum; ranking; fiktif,5
1623,2,menyampaikan laporan secara lisan; suara -> dapat didengar oleh audiens; vokal -> pendengar mudah menangkap isi laporan; penjedaan -> pemberhentian ditengah/ diakhir kalimat; gerak-gerik -> hindari gerakan yang tidak perlu; mimik -> ekspresi wajah; bahasa komunikatif -> penggunaan bahasa indonesia yang baik dan benar,2
1623,3,kata/ waktu x 60 = 240 / 120 x 60 = 120 kpm,5
1623,4,omset; hektar; saksama; silakan; sirup; zaman; apotek; modern; himbau; kuitansi,5
1623,5,bahasa yang baik dan benar; menggunakan bahasa baku,2
1624,1,lulusan : alumni; rencana : rancangan; keuntungan : laba; contoh : sampel; cara : teknik; khayalan : imajinasi; pendapat : argumen; pakaian : kostum; peringkat : ranking; tidak nyata : fiktif,5
1624,2,vokal : jelas dalam pengucapan; suara : suara harus terdenger ke audiens; bahasa penyampaian : bahasa mudah difahami; gerak : gerak secukupnya; pernafasan; mimik,2
1624,3,240/ 120 x 60 = 1440/ 12 = 120 kpm,5
1624,4,omzet; hektare; saksama; silakan; sirup; zaman; apotek; modern; imbau; kuitansi,5
1624,5,alur; ringkasan; kritik saran; evaluasi; sinopsis,2
1625,1,lulusan : alumnus; rencana : agenda; keuntungan : laba; contoh : sampel; cara : ; khayalan : imajinasi; pendapat : argumen; pakaian : kostum; peringkat: ranking; tidak nyata : fiktif,5
1625,2,"teknik membaca : menyusun laporan secara tertulis, kemudian membacanya; teknik menghafal : menulis laporan terlebih dahulu, kemudian menghafalnya; teknik serta merta: menyampaikan laporan secara langsung tanpa menghafalnya; teknik outline : menulis laporan, kemudian memahami tulisan tersebut",5
1625,3,jumlah kata/ waktu (detik) x 60 = 240 / 120 x 60 = 120 kpm,5
1625,4,omset; hektar; saksama; silakan; sirup; zaman; apotik; modern; imbau; kuitansi,5
1625,5,bahasa yang komunikatif -> harus menggunakan bahasa yang baik dan benar; isinya harus lengkap -> agar tidak salah membaca; terdapat salam pembuka -> agar lebih sopan,2
1706,1,alumnus; agenda; laba; sampel; teknik; imajinasi; argumen; kostum; rangking; fiktif,5
1706,2,teknik membaca -> mencatat laporan lalu membacanya; teknik menghafal -> mencatat laporan lalu menghafalnya; teknik serta merta -> tanpa mencatat laporan atau menghafalkan; teknik outline -> membuat pokok-pokok catatan lalu membaca dan mengembangkan,5
1706,3,240/ 120 x 60 = 120 kpm,5
1706,4, ; hektare; saksama; silakan; sirup; zaman; apotek; modern; himbau; kwitansi,4
1706,5,terdapat penomeran -> penomeran yang urut; terdapat perintah -> perintah melakukan/ membuat sesuatu,2
1707,1,alumnus; agenda; laba; sampel; teknik; imajinasi; argumen; costum; rangking; fiktif,5
1707,2,"teknik menyampaikan laporan secara lisan : volume suara, vokal, penjedaan, mimik wajah, gerak-gerik, bahasa komunikatif, teknik menyampaikan laporan dengan membaca : menyusun teks dahulu, kemudian membaca; teknik menyampaikan laporan dengan menghafal : menulis teks terlebih dahulu, kemudian menghafalnya; teknik menyampaikan laporan serta merta : menyampaikan laporan secara langsung, tanpa membaca tanpa menghafal teksnya; teknik menyampaikan laporan outline : pembicara menyiapkan teksnya, kemudian mengembangkan teks tersebut",5
1707,3,"240/120 x 60 = 120 kpm, Dani membaca dengan kecepatan 120 kpm",5
1707,4,omset; hektare; saksama; silakan; sirup; zaman; apotek; modern; himbau; kuitansi,5
1707,5,"penyutradaraan : sutradara adala orang yang mengatur tim dan jalannya drama; aktor/ aktris : peran, yang memerankan tokoh; tata cahaya : cahaya, gelap terang; tata rias : costum, make up; tata musik : backsound drama tersebut; dialog : pembicaraan yang dilakukan antar tokoh",2
1708,1,lulusan : alumnus; rencana : agenda; keuntungan : laba; contoh : sampel; cara : upaya ; khayalan : imajinasi; pendapat : argumen; pakaian : kostum; peringkat: ranking; tidak nyata : fiktif,5
1708,2,"teknik membaca : menyusun laporan terlebih dahulu, kemudian dibacanya; teknik menghafalkan : membat laporan terlebih dahulu, kemudian menghafalkan; teknik serta merta : teknik menyampaikan secara langsung tanpa naskah tanpa menghafalkan; teknik outline : pembicara menyiapkan catatan, kemudian menembangkan tulisan tersebut",5
1708,3,240/ 120 x 60 = 120 kpm,5
1708,4,Omset; hektare; saksama; silakan; sirop; zaman; apotik; modern; imbau; kuitansi,5
1708,5,"orientasi : judul, tokoh, peran latar; tafsiran : sinopsis (menceritakan ulang); evaluasi : kritik dan saran , penyutradaraan, tata rias, tata panggung, tata pencahayaan, tata musik, aktor dan aktris; rangkuman : amanat",5
1709,1,alumnus; jadwal; laba; sampel; prosedur; imajinasi; argumen; baju; ranking; fiktif,5
1709,2,teknik membaca : teknik dengan cara menulis laporan lalu membacanya; teknik menghafal : teknik dengan cara menulis laporan lalu menghafalnya; teknik serta merta : teknik menyampaikan laporan tanpa menulis dan menghafalnya; teknik outline : teknik menyampaikan laporan dengan cara memahami informasi-informasi yang terdapat pada laporan,5
1709,3,240/ 120 x 60 = 120 kpm,5
1709,4,omset; hektar; saksama; silakan; sirup; zaman; apotek; modern; imbau; kuwitansi,4
1709,5,tema : ide yang ada didalam teks; judul : nama teks; isi : isi teks/ inti dari teks; latar waktu & tempat : waktu dan tempat yang ada didalam teks,2
1710,1,lulusan -> alumnus; rencana -> wacana; keuntungan -> laba; contoh : sampel; cara -> tutorial; khayalan -> imajinasi; pendapat -> argumen; pakaian -> sandang; peringkat -> ranking; tidak nyata -> fiktif,5
1710,2,"teknik membaca -> menulis laporan secara tertulis, kemudian membacanya; teknik menghafal -> menulis laporan terlebih dahulu, kemudian menghafalnya; teknik serta merta -> menyampaikan laporan secara langsung, tanpa naskah dan tanpa menghafalnya; teknik outline -> pembicara memberikan catatan, kemudian mengembangkan tulisan tersebut",5
1710,3,"rumus : jumlah kata yang dibaca/ jumlah waktu yang dibutuhkan x 60 = 240 / 120 x 60 = 14400/ 120 = 1440/ 12 = 120 kpm, jadi kecepatan membaca dani adalah 120 kpm",5
1710,4,omzet; hektare; saksama; silakan; sirop; zaman; apotek; modern; imbau; kuitansi,5
1710,5,tek usulan adalah teks yang bertujuan untuk mengulas sebuah cerita,3
1716,1,lulusan : alumnus; rencana : agenda; keuntungan : laba; contoh : sampel; cara : make; khayalan : imajinasi; pendapat : argumen; pakaian : baju; peringkat : ranking; tidak nyata : fiktif;,5
1716,2,teknik menyampaikan laporan : ; teknik membaca; menulis laporan lalu dibacakan; teknik menghafal; menulis laporan lalu menghafalkan; teknik serta merta; menyampaikan laporan secara langsung tanpa teks dan tanpa menghafal; teknik outline; pembicara memberi catatan kecil lalu dikembangkan deh yang menyampaikan laporan,5
1716,3,dani 240 kata/ 120 (s) 240/ 120 x 60  2 x 60 = 120 kpm (kata per menit),5
1716,4,omset - omzet; hektare - hektar; seksama - saksama; silahkan - silakan; sirup - sirop; jaman - zaman; apotek - apotik; modern - moderen; himbau - imbau; kuitansi - kwitansi,4
1716,5,teks usulan : teks untuk mengevaluasi sesuatu; unsur - unsur : mengevaluasi scr jujur dan objektif; mengevaluasi dengan baik dan benar; menyampaikan evaluasi dengan bahasa yang baik; menulis evaluasi di buku; menyimpan menggunakan bahasa yang komunikatif,3
1717,1,lulusan : alumnus; rencana : agenda; keuntungan : laba; contoh : sampel; cara : petunjuk; khayalan : imajinasi; pendapat : argumen; pakaian : kostum; peringkat : ranking; tidak nyata : fiktif,5
1717,2,teknik membaca -> teknik dengan menulis laporan terlebih dahulu kemudian membacanya; teknik menghafal -> teknik dengan menulis laporan terlebih dahulu kemudian menghafalnya; teknik serta merta -> teknik menyampaikan tanpa menggunakan naskah dan tanpa menghafal; teknik outline -> teknik ketika pembicara hanya mencatat poin-poin penting kemudian dijabarkan sendiri,5
1717,3,jumlah kata/ waktu (detik) x 60 = 240 / 120 x 60 = 2 x 60 = 120 kpm,5
1717,4,omset - omzet; hektare - hektar; seksama - saksama; silahkan - silakan; sirup - sirop; jaman - zaman; apotek - apotik; modern - moderen; himbau - imbau; kuitansi - kwitansi,5
1717,5,volume suara : dapat didengar oleh seluruh audiens; vokal : dapat didengar secara jelas; penjelasan : pemberhentian ditengah atau diakhir kalimat; ekspresi : mimik wajah; gerak gerik : mengurangi gerakan yang tidak perlu; bahasa yang komunikatif: penggunaan bahasa indonesia dengan baik dan benar,2
1718,1,lulusan : alumnus; rencana : agenda; keuntungan : laba; contoh : sample; cara : petunjuk / ? langkah - langkah ; khayalan : imajinasi; pendapat : argumen; pakaian : kostum; peringkat : ranking ; tidak nyata : fiktif,5
1718,2,"teknik menyampaikan laporan : ; teknik membaca: menulis laporan terlebih dahulu kemudian membacanya; teknik menghafal : menyusun/ menulis laporan kemudian menghafalnya; teknik serta merta : menyampaikan laporan secara langsung, tanpa naskah/ tanpa menghafal; teknik outline : pembicara menyusun laporan/ list kemudian mengembangkan tulisan tersebut",5
1718,3,jumlah kata yang dibaca / waktu baca (detik) x 60 -> 240 / 120 x 60 = 120 kpm; kpm : kata per menit,5
1718,4,omset; hektar; saksama; silakan; sirup;  zaman; apotek ; modern ;  imbau; kuitansi,5
1718,5,judul : judul dalam teks tersebut; anotasi; dialog : percakapan; babak/ adegan,2
1719,1,alumnus; agenda; laba; sampel; urutan; imajinasi; argumen; kostum; ranking; fiktif,5
1719,2,"teknik membaca -> teknik dengan cara menulis laporan, lalu membacanya; teknik menghafal -> teknik dengan cara menuliskan laporan, lalu menghafalnya; teknik serta merta -> teknik dengan cara langsung, tanpa teks dan tanpa menghafal; teknik outline -> teknik dengan cara membawa secarik kertas yang berisi gagasan pokok, lalu mengembangkannya sendiri",5
1719,3,R = jumlah kata/ waktu x 60 = 240 / 120 x 60 = 120 kpm,5
1719,4,omset; hektar; saksama; silakan; sirop; zaman; apotek; modern; imbau; kuitansi,5
1719,5,orientasi : adalah gambaran ulang terhadap objek; tafsiran : adalah ulasan terhadap objek; evaluasi : adalah penilaian terhadap objek; rangkuman : ringkasan isi ulasan,5
1720,1,alumnus; tujuan; laba; sampel; petunjuk; imajinasi; argumen; busana; ranking; fiktif,5
1720,2,"volume suara; suara harus keras; vokal atau mengucapkan; pengucapannya harus benar dan jelas; penjedaan; perhentian di tengah atau diakhir kalimat; gerak - gerik; gerakan harus cepat; ekspresi; wajah atau ekspresi yang sesuai dengan laporannya; bahasa komuniatif; bahasa yang benar, tepat, dan jelas, mudah dipahami atau dimengerti oleh audiens atau pendengar",2
1720,3,jumlah kata/ waktu baca (detik) x 60 = 240 / 120 x 60 = 120 kpm,5
1720,4,Omset; hektare; saksama; silakan; sirop; zaman; apotek; modern; imbau; kuwitansi,5
1720,5,kata-kata yang tepat; kata perkata harus tepat; baasa yang baik; penggunaan bahasanya,2
1721,1,alumnus; agenda; laba; sampel; langkah; imajinasi; argumen; kostum; ranking; fiktif,5
1721,2,"teknik membaca -> menyusun laporan, lalu membacanya; teknik menghafal -> menulis laporan, lalu dihafalkan; teknik serta merta -> tidak ditulis, dan tidak dihafalkan; teknik outline -> pembicaraan menyiapkan catatan, lalu tertulis hal-hal yang penting",5
1721,3,jumlah kata / waktu x 60 = 240/120 x 60 = 120 kpm,5
1721,4,Omset; hektare; saksama; silakan; sirop; zaman; apotek; modern; imbau; kuwitansi,5
1721,5,tema : hal yang akan dibahas; alur : jalan cerita; latar : tempat dan waktu dilaksanakan; bahasa : kata yang sesuai; amanat : hal yang bisa diambil,2
1722,1,alumnus; agenda; laba; sampel; prosedur; imajinasi; argumen; kostum; ranking; fiktif,5
1722,2,teknik membaca; pembicara membuat teks dan membacakannya; teknik menghafal; pembicara membuat teks dan menghafalkannya; teknik serta merta; secara langsung tanpa naskah/ menghafal; teknik outline; pembicara membuat inti naskah dan mengembangkannya,5
1722,3,kata/ waktu x 60 = 240 / 120 x 60 = 120 kpm (kata per menit),5
1722,4,omset; hektar; saksama; silakan; sirup; zaman; apotek; modern; himbau; kuitansi,4
1722,5,"orientasi -> judul, tokoh, peran latar; tafsiran -> menceritakan kembali; evaluasi -> kritik dan saran; rangkuman -> amanat",5
1723,1,lulusan : alumnus; rencana : jadwal; keuntungan : laba; contoh : sampel; cara : teknnik; khayalan : imajinasi; pendapat : argumen; pakaian : kostum; peringkat : ranking; tidak nyata : fiktif,5
1723,2,"teknik membaca : membuat laporan terlebih dahulu, lalu membacanya; teknik menghafal : menulis terlebih dahulu laporannya, lalu dihafalkan; teknik serta merta : menyapaikan laporan secara langsung tanpa naskah dan tanpa dialog; teknik orlient : penulis membuat catatan terlebih dahulu, lalu mengembangkan catatannya",5
1723,3,240/ 120 x 60 = 2 x 60 = 120 kpm,5
1723,4,omzet; hektar; saksama; silakan; sirup; zaman; apotik; modern; imbau; kuwitansi,4
1723,5,tata riasan; tata cahaya; tata musik; tata penyutradaraan,2
1208,1,lulusan : alumnus; rencana : agenda; keuntungan : laba; contoh : sampel; cara : teknik; khayalan : imajinasi; pendapat : argumen; pakaian : kostum; peringkat : ranking; tidak nyata : fiktif,5
1208,2,"teknik membaca : menyusun laporan secara tertulis, kemudian membaca; teknik menghafal : menulis terlebih dahulu, kemudian menghafal; teknik serta merta : menyampaikan laporan secara langsung tanpa membaca naskah dan tanpa menghafal; teknik outline : membuat catatan, kemudian mengembangkan catatan tersebut",5
1208,3,240/ 120 x 60 = 120 kpm,5
1208,4,omzet; hektare; saksama; silakan; sirop; zaman; apotek; modern; imbau; kuitansi,5
1208,5,menggunakan penomeran; menggunakan bahasa yang efektif,2
1209,1,alumnus; agenda; laba; sampel; teknik; imajinasi; argumen; kostum; ranking; fiktif,5
1209,2,"teknik membaca : menyampaikan laporan dengan cara membaca laporan tersebut; teknik menghafal : menulis laporan dahulu, lalu menghafalkannya; teknik serta merta : menyampaikan laporan dengan cara tidak membawa naskah dan tidak menghafalkannya; teknik outline : menyampaikan laporan dengan cara membawa catatan tetapi hanya pokok-pokoknya saja, lalu mengembangkan pokok-pokok tersebut",5
1209,3,jumlah kata/ waktu baca (detik) x 60 = 240 / 120 x 60 = 120 kpm,5
1209,4,omzet; hektare; saksama; silakan; sirop; zaman; apotek; modern; imbau; kuitansi,5
1209,5,urut : tahapannya urut; menggunakan bahasa yang baik dan benar,2
1210,1,alumnus; agenda; laba; sampel; teknik; imajinasi; argumen; kostum; ranking; fiktif,5
1210,2,"teknik membaca : menulis laporan kemudian membacanya; teknik menghafal : menulis laporan kemudian menghafalkannya, disampaikan tanpa melihat teks laporan; teknik serta merta : menyampaikan secara langsung tanpa menulis atau membaca; teknik outline : mencatat pokok - pokok laporan kemudian dikembangkan sendiri saat menyampaikannya",5
1210,3,"jumlah kata/ kata per detik x 60 = 240 kata/ 120 detik x 60 = 120 kata per menit (kpm); jadi, dani membaca teks dengan kecepatan 120 kpm",5
1210,4,omzet; hektare; saksama; silakan; sirop; zaman; apotek; modern; himbau; kuitansi,5
1210,5,"orientasi : terdiri dari nama tokoh, peran tokoh, tema, dan judul; isi : terdiri dari sinopsis, alur, dan latar; evalusai : terdiri kritik dan saran tentang aspek-aspek drama; aspek akting; aspek kostum; aspek tata rias; aspek setting; aspek pencahayaan dan lainnya; rangkuman : terdiri dari amanat yang ingin disampaikan",5
1211,1,alumnus; agenda; laba; sample; teknik; imajinasi; argumen; kostum; ranking; fiktif,5
1211,2,teknik membaca -> menyusun isi laporan lalu membacanya; teknik menghafal -> menyusun isi laporan lalu menghafalkannya; teknik serta merta -> menyampaikan laporan tanpa naskah dan tanpa menghafal; teknik outline -> membawa catatan lalu mengembang catatan tersebut,5
1211,3,240/ 120 x 60 = 120 kpm (kata per menit),5
1211,4,omzet; hektare; saksama; silakan; sirup; zaman; apotek; modern; imbau; kuitansi,5
1211,5,orientasi -> pembukaan atau awalan; isi -> isi teks ulasan; alur -> jalannya cerita; kesimpulan -> inti dari semuanya atau hasil akhir,2
1212,1,alumnus; agenda; laba; sampel; teknik; imajinasi; argumen; kostum; ranking; fiktif,5
1212,2,"teknik membaca : menyiapkan laporan tertulis, kemudian membacanya; teknik menghafal : menulis laporan terlebih dahulu, kemudian menghafalnya; teknik serta merta : menyampaikan laporan secara langsung, tanpa naskah dan tanpa menghafal; teknik outline : menyiapkan catatan, kemudian mengembangkan catatan tersebut",5
1212,3,rumus : jumlah kata yang dibaca/ waktu baca (dalam detik) x 60 = 240 kata / 120 detik x 60 = 120 kpm,5
1212,4,omzet; hektare; saksama; silakan; sirop; jaman; apotek; modern; imbau; kuitansi,5
1212,5,"prosedur melakukan sesuatu, menjelaskan tentang bagaimana melakukan suatu kegiatan yang hasil akhirnya berupa selesainya suatu kegiatan contoh : mencuci baju; prosedur membuat sesuatu, menjelaskan tentang bagaimana cara membuat sesuatu secara urut dan lengkap, contoh : cara membuat tempat pensil",2
1213,1,lulusan : alumnus; rencana : agenda; keuntungan : laba; contoh : sampel; cara : procedure; khayalan : imajinasi; pendapat : pendapat; pakaian : kostum; peringkat : rangking; tidak nyata : fiktif,5
1213,2,"vokal : suara harus keras dan jlas apa yang sedang diucapkan, pengucapan kata harus baku dan benar; ekspresi : usahakan mimik wajah tidak membuat audiens salah fokus dan tetap menyimak laporan dengan baik; gerak-gerik : hindari gerakan yang tidak perlu, contoh: gerak-gerik kepala",2
1213,3,240/ 120 x 60 = 240 / 2 = 120 kpm -> dani membaca buku dengan kecepatan 120 kpm,5
